team,season_end_year,srs,mov,net_rating,off_rating,def_rating,pace,w,l,win_pct
GSW,2007,0.0,-0.34,-0.4,107.0,107.4,99.2,42.0,40.0,0.512
HOU,2007,5.04,4.85,5.3,106.0,100.7,90.7,52.0,30.0,0.634
IND,2007,-2.62,-2.44,-2.6,102.9,105.5,92.4,35.0,47.0,0.427
LAC,2007,-0.07,-0.46,-0.5,105.1,105.6,90.8,40.0,42.0,0.488
LAL,2007,0.24,-0.07,0.0,108.6,108.6,93.5,42.0,40.0,0.512
MEM,2007,-4.44,-5.15,-5.4,106.9,112.3,93.6,22.0,60.0,0.268
MIA,2007,-1.21,-0.91,-1.0,104.3,105.3,89.9,44.0,38.0,0.537
MIL,2007,-4.43,-4.38,-4.7,107.0,111.7,92.3,28.0,54.0,0.342
MIN,2007,-3.16,-3.67,-4.0,103.9,107.9,91.0,32.0,50.0,0.39
NJN,2007,-1.0,-0.77,-0.9,105.7,106.6,91.4,41.0,41.0,0.5
NOP,2007,-1.19,-1.57,-1.7,104.8,106.5,90.2,39.0,43.0,0.476
NYK,2007,-3.06,-2.85,-3.1,105.7,108.8,90.8,33.0,49.0,0.402
ORL,2007,0.35,0.78,0.8,104.9,104.1,89.9,40.0,42.0,0.488
PHI,2007,-3.26,-3.02,-3.3,103.6,106.9,90.7,35.0,47.0,0.427
PHX,2007,7.28,7.3,7.5,113.9,106.4,95.6,61.0,21.0,0.744
POR,2007,-3.78,-4.29,-4.8,105.1,109.9,88.3,32.0,50.0,0.39
SAC,2007,-1.35,-1.8,-1.8,106.2,108.0,94.8,33.0,49.0,0.402
SAS,2007,8.35,8.43,9.3,109.2,99.9,89.8,58.0,24.0,0.707
SEA,2007,-2.45,-2.89,-3.1,107.2,110.3,91.8,31.0,51.0,0.378
TOR,2007,0.61,0.99,1.0,107.0,106.0,92.6,47.0,35.0,0.573
UTA,2007,3.06,2.87,3.1,110.1,107.0,91.6,51.0,31.0,0.622
WAS,2007,-0.8,-0.51,-0.5,110.1,110.6,94.1,41.0,41.0,0.5
ATL,2008,-2.23,-1.82,-2.0,106.9,108.9,91.1,37.0,45.0,0.451
BOS,2008,9.3,10.26,11.3,110.2,98.9,90.9,66.0,16.0,0.805
CHA,2008,-4.49,-4.38,-4.8,104.6,109.4,91.8,32.0,50.0,0.39
CHI,2008,-3.19,-3.09,-3.3,103.9,107.2,93.0,33.0,49.0,0.402
CLE,2008,-0.53,-0.35,-0.4,106.0,106.4,90.2,45.0,37.0,0.549
DAL,2008,4.7,4.54,5.0,111.1,106.1,90.2,51.0,31.0,0.622
DEN,2008,3.74,3.71,3.7,110.0,106.3,99.7,50.0,32.0,0.61
DET,2008,6.67,7.39,8.5,111.4,102.9,87.3,59.0,23.0,0.72
GSW,2008,2.38,2.21,2.3,111.8,109.5,98.8,48.0,34.0,0.585
HOU,2008,4.83,4.68,5.2,106.8,101.6,90.4,55.0,27.0,0.671
IND,2008,-1.87,-1.4,-1.5,106.0,107.5,97.7,36.0,46.0,0.439
LAC,2008,-6.56,-7.27,-7.9,101.2,109.1,92.1,23.0,59.0,0.28
LAL,2008,7.34,7.26,7.5,113.0,105.5,95.6,57.0,25.0,0.695
MEM,2008,-5.76,-6.21,-6.4,105.0,111.4,95.3,22.0,60.0,0.268
MIA,2008,-8.53,-8.65,-9.5,100.5,110.0,90.2,15.0,67.0,0.183
MIL,2008,-6.92,-6.89,-7.5,105.3,112.8,91.3,26.0,56.0,0.317
MIN,2008,-6.26,-6.78,-7.4,103.8,111.2,91.9,22.0,60.0,0.268
NJN,2008,-5.15,-5.06,-5.4,104.0,109.4,91.5,34.0,48.0,0.415
NOP,2008,5.46,5.28,5.8,111.5,105.7,89.9,56.0,26.0,0.683
NYK,2008,-6.55,-6.61,-7.2,104.7,111.9,91.6,23.0,59.0,0.28
ORL,2008,4.79,5.46,5.8,111.3,105.5,93.4,52.0,30.0,0.634
PHI,2008,0.19,0.41,0.4,106.4,106.0,90.4,40.0,42.0,0.488
PHX,2008,5.14,5.05,5.2,113.3,108.1,96.7,55.0,27.0,0.671
POR,2008,-0.52,-0.98,-1.1,107.3,108.4,87.9,41.0,41.0,0.5
SAC,2008,-1.86,-2.26,-2.4,107.5,109.9,94.7,38.0,44.0,0.463
SAS,2008,5.1,4.79,5.4,107.2,101.8,88.8,56.0,26.0,0.683
SEA,2008,-8.04,-8.76,-9.0,100.5,109.5,96.3,20.0,62.0,0.244
TOR,2008,2.47,2.9,3.2,110.2,107.0,90.2,41.0,41.0,0.5
UTA,2008,6.86,6.88,7.3,113.8,106.5,93.2,54.0,28.0,0.658
WAS,2008,-0.61,-0.33,-0.4,109.2,109.6,89.5,43.0,39.0,0.524
ATL,2009,1.7,1.57,1.7,109.3,107.6,89.6,47.0,35.0,0.573
BOS,2009,7.44,7.51,8.2,110.5,102.3,90.4,62.0,20.0,0.756
CHA,2009,-1.2,-1.27,-1.4,104.7,106.1,88.3,35.0,47.0,0.427
CHI,2009,-0.16,-0.28,-0.3,108.4,108.7,93.1,41.0,41.0,0.5
CLE,2009,8.68,8.93,10.0,112.4,102.4,88.7,66.0,16.0,0.805
DAL,2009,1.68,1.98,2.1,110.5,108.4,91.5,50.0,32.0,0.61
DEN,2009,3.13,3.41,3.6,110.4,106.8,94.3,54.0,28.0,0.658
DET,2009,-0.36,-0.49,-0.6,107.4,108.0,86.7,39.0,43.0,0.476
GSW,2009,-3.8,-3.74,-3.8,109.5,113.3,98.2,29.0,53.0,0.354
HOU,2009,3.73,4.0,4.4,108.4,104.0,90.2,53.0,29.0,0.646
IND,2009,-0.76,-1.11,-1.1,108.1,109.2,96.5,36.0,46.0,0.439
LAC,2009,-8.47,-8.77,-9.4,102.3,111.7,92.1,19.0,63.0,0.232
LAL,2009,7.11,7.66,8.1,112.8,104.7,94.3,65.0,17.0,0.793
